category,job_description,job_skill_set
HR,"About the position the riverside county probation department seeks to fill two senior human resources clerk vacancies for their administration and background units located in riverside. the senior human resources clerk performs the most difficult clerical functions which are encompassed in the administration of county human resources (hr) programs, and serves in a lead capacity over others in the performance of the work; provides lead supervision and coordinates the processing of hr transaction forms, employee insurance forms, payroll attendance reports, and maintenance of human resources records; interprets and applies complex rules and regulations; serves as the resource specialist and representative to operating departments of an hr program and function; performs other related duties as required. competitive candidates will possess experience working in the areas of recruitment processing, onboarding, employee benefits and leave administration, as well as payroll practices in either a lead or supervisory capacity. this experience should be adamantly displayed on both application and resume. the senior human resources clerk is the lead level classification in the human resources clerk series and reports to an appropriate supervisory or manager level position. incumbents provide lead supervision to human resources clerks and clerical support staff. in the human resources department, the senior human resources clerk is also responsible for maintaining an effective workflow within one or more hr program functions, (e.g., retirement and health plan programs). in operating departments, the position is also responsible for providing clerical hr support for administrative and other department staff. incumbents exercise considerable independence in setting personal work priorities. the senior human resources clerk is distinguished from department human resources coordinator in that the former’s responsibilities do not involve coordination of the full range of hr activities. meet the team! the riverside county probation department is a progressive criminal justice agency that believes in continuous improvement, searching and applying evidence-based and best practices, using measurable outcomes to evaluate programs, and doing our utmost to fulfill our mission and make riverside county a safe and law-abiding community for its citizens. we recognize the value of a qualified, professional, dynamic, and diverse workforce and in building an organization that reflects the progressive community we serve. examples of essential duties provide lead supervision and oversee the processing of hr records. train, advise and review the work of employees performing clerical hr functions. process enrollments and changes in employee benefits; set up procedures for performing employee benefit transactions; maintain hr records; design forms. assist line departments in the processing of benefit enrollment, changes in employee benefits, preparation of hr transactions, and interpretation of hr policies, procedures and regulations. determine whether employees qualify for hr benefits on the basis of complex rules. research and inform employees and and or administrative staff about hr policies and procedures and benefit information. determine own work priorities to meet deadlines. coordinate the impact of employee eligibility or change of status in benefit programs with other divisions, departments and organizations. compile and calculate data and verify its accuracy; prepare reports and recommendations. advise employees at all organizational levels of the procedural processes of hr programs (e.g., public employees' retirement system (pers)) and the benefits and requirements of healthcare programs. assist employees in identifying and comparing benefit options; inform new employees of county and departmental policies and procedures regarding hr and payroll reporting requirements. minimum qualifications option i experience: three years of clerical experience which must have included at least one year of primarily performing hr clerical processes and working with hr rules and regulations. option ii experience: three years of clerical experience which must have included at least one year of primarily performing hr clerical processes and working with hr rules and regulations. (completion of 18 semester or 27 quarter units from an accredited college or university in secretarial sciences, office practices, business education, or a closely related field may substitute for one year of the general clerical experience.) option iii experience: three years of clerical experience which must have included at least one year of primarily performing hr clerical processes and working with hr rules and regulations. (completion of 360 hours of training from a recognized occupational training program in secretarial sciences, business education, or a closely related field may substitute for one year of the general clerical experience.) all options knowledge of: laws, rules, regulations, and procedures pertaining to hr practices; hr and payroll recordkeeping practices; hr procedures and forms used to effect changes in employee benefits; office practices and procedures, including preparing correspondence and reports, filing and operating electronic office equipment. ability to: coach other employees in hr clerical work; interpret, apply and explain complex rules, procedures and guidelines; develop and modify clerical procedures and hr recordkeeping systems; work independently in the absence of specific instructions; compile and organize data and prepare statistical and other reports; work effectively with employees at all organizational levels and the public; speak and write effectively; type 45 net words per minute. supplemental information veteran's preference the county has a veteran's preference policy. upload a copy of your (or your spouse's) member-4 form dd-214 indicating dates of service, and a copy of your spouse's letter of disability (if applicable) with your application. for privacy reasons, it is recommended that you remove your social security information from the document(s). a human resources representative will review the materials and determine if you qualify for veterans' preference. see the policy here. reasonable accommodations the county of riverside is committed to providing reasonable accommodation to applicants as required by the americans with disabilities act (ada) and fair employment and housing act (feha). qualified individuals with disabilities who need a reasonable accommodation during the application or selection process should contact the recruiter for the position noted above. for additional information and and or to obtain the appropriate form for requesting a reasonable accommodation, please visit the disability access office web page located at: http: and and dao.rc-hr.com and. what’s next? this recruitment is open to all applicants. applicants who are current county of riverside employees and and or current employees of the probation department may be considered before other applicants depending on the volume of applications received. qualified applicants may be considered for future vacancies throughout the county. based on the number of applications received, the posting may close without notice. if you have questions regarding this position, please contact ulysses gerardo at 951-955-5772 or e-mail at ugerardo@rivco.org. general application information please read and follow any special application instructions on this posting. click the 'apply' link located on this page to submit your application. for instructions on the application process, examinations, veteran's preference, pre-employment accommodation or other employment questions, please refer to our web site, www.rc-hr.com. a pre-employment physical examination and background check may be required.","['HR clerical processes', 'employee benefits administration', 'payroll practices', 'data compilation and reporting', 'recordkeeping practices', 'office practices and procedures', 'interpretation of HR policies', 'training and advising', 'typing (45 WPM)', 'complex rules and regulations', 'leadership', 'communication', 'independence', 'problem solving', 'teamwork', 'organizational skills', 'coaching', 'customer service', 'attention to detail', 'adaptability']"
HR,"Company description:creative foam products, llc is an expanded polystyrene manufacturer specializing in the production of foam insulation used in the building and construction industry as well as protective packaging. our team works together to deliver exceptional customer service and quality products. we invest in our employees, providing training and development opportunities to foster growth and ensure our ability to consistently provide high-quality, made to order products, short lead times, ample availability, and stable prices to our customers. we are seeking a human resources generalist who will: summary of position:formalize and build our human resources department. the hr generalist will plan, implement, and evaluate employee relations and human resources policies, programs, and practices. this is an excellent opportunity for a self-starter to join a young company and establish our human resources department. this is a full-time position requiring 40 hours a week. days of the work week are monday through friday, hours will be between 8:00 a.m. to 5:00 p.m. and will be agreed upon before employment. essential job duties:• oversee the hiring and onboarding process of new employees.• work directly with departments to fill their employment needs.• develop recruitment plans including relationships with local placement companies and locate and maintain other hiring sources.• educate employees to follow proper policies and procedures.• maintain and monitor records of worker’s compensation, ada, fmla, unemployment and other employee claims. recommend changes to policy and training to ensure compliance with laws and regulations.• assist payroll coordinator and accounting in the preparation of payroll, entering hours, deductions, rate changes, transfers, etc.• work with upper management and team leaders in providing regular leadership andmanagement training.• help direct and support the development of our company culture.• maintain employee files.• develop and implement hr plans for creative foam including selections, promotions, transfer, orientation, compensation administration, labor relations in collaboration with management. educate and advise team leaders and management on personnel issues including termination, disputes, morale.• maintain and deploy applicable human resources federal and state requirements, conduct investigations, and maintain records.• monitor reports provided by team leaders and management to determine employee performance and training needs.• work with team leaders to develop and hold training programs and manuals for equipment and machine operators.• analyze compensation standards set by industry and governing bodies to create salary structures and administer employee benefits.• organize exit interviews and procedures.• plan company events. minimum qualifications:• bachelor’s degree in human resources or related field.• 2+ years of relevant experience.• understanding of the key principles of employment law and eeoc regulations.• excellent communication skills, both written and verbal.• unimpeachable ethics, integrity, and standards• right to work in the u.s. that is not based solely on possession of a student visa or a visa sponsored by a third-party employer desired experience:• broad knowledge of such fields as accounting, marketing, business administration, etc.• familiarity with osha safety policies and regulations.• manufacturing experience a plus.• knowledge and experience in using various technologies and systems including ms suite, including ms outlook and excel• strong organizational skills and capable of prioritizing multiple tasks.• adept at problem solving and conflict resolution.• social media savvy.• ability to handle sensitive, confidential information• excellent communication and collaboration skills to work effectively with cross-functional teams.• ability to thrive in a fast-paced, dynamic environment and manage multiple priorities effectively. working conditions:• work onsite in an office environment• must be able to remain in a stationary position for up to 75% of the time• the ability to communicate information and ideas so others will understand. must be able to exchange accurate information in these situations• the ability to observe details at close range (within a few feet of the observer).• constantly operates a computer and other office productivity machinery, such as a calculator, copy machine, and computer printer.• the person in this position needs to occasionally move about inside the office to access file cabinets, office machinery, etc. • must be able to ascends and descends stairs to access office and participate in shareholder meetings and accessing accounting documents full job descriptions will be made available to those selected for an interview. the description is only a summary of the typical functions of the job, not an exhaustive or comprehensive list of all possible responsibilities, tasks, and duties. disclaimers:creative foam products is committed to equal employment opportunities regardless of any protected characteristic, including race, color, genetic information, creed, national origin, religion, sex, affectional or sexual orientation, gender identity or expression, lawful alien status, ancestry, age, marital status, or protected veteran status and will not discriminate against anyone on the basis of a disability. we support a workplace where associates excel based on personal merit, qualifications, experience, ability, and job performance.creative foam products is an affirmative action and equal opportunity employer of individuals with disabilities and protected veterans and is committed to excellence. if you need reasonable accommodation for any part of the employment process, please contact us at jobs@creativefoamusa.com and let us know the nature of your request. we will accommodate the needs of any qualified candidate who requests a reasonable accommodation under the americans with disabilities act (ada).employee must be able to perform the essential functions of the position satisfactorily and, if requested, reasonable accommodations will be made to enable employees with disabilities to perform the essential functions of their job, absent undue hardship. the employer retains the right to change or assign other duties to this position.","['Human Resources Management', 'Employee Relations', 'Recruitment', 'Payroll Processing', 'Employment Law', 'MS Office Suite', 'Data Management', 'Compensation Analysis', 'Training Development', 'Conflict Resolution', 'OSHA Regulations', 'Communication', 'Integrity', 'Organizational Skills', 'Problem Solving', 'Collaboration', 'Adaptability', 'Self-Starter', 'Confidentiality', 'Leadership', 'Cultural Awareness']"
HR,"We're not just in the packaging business–we're in the ""wow"" business pregis is in the packaging business to protect what matters. we are committed to providing our customers and employees sustainable growth through purpose-driven innovation and customer-centric packaging solutions. if you are looking for a company that is thriving across various high growth industries and is innovative, customer focused, high integrity, believes in strong teamwork and collaboration, pregis is the company for you. check out the pregis purpose to learn how sustainability and social responsibility is at the very core of our company dna. position summary pregis corporation, a leading global provider of innovative packaging solutions, seeks a human resources generalist based at its plymouth, in manufacturing facility. this individual will be primarily responsible for the day-to-day administration of human resources programs and processes for plant personnel including compensation, benefits, training and recruiting, and will also support the talent needs of the salaried team in the location. this position will also support employee engagement and health and safety initiatives including building a strong safety culture, completing safety training, and initiating accident investigation when necessary. responsibilities responsible for all aspects of talent and culture in the location; partner closely with the plant manager and leadership team to ensure a safe and engaged workforce.work with plant manager to determine plant level staffing; participate and coordinate recruitment efforts for exempt, non-exempt, and temporary workers within process and procedure;recruit for all hourly roles in the plant and manage all temp laborpartner primarily with plant manager as well as other department leads to assess, respond and escalate employee issues as needed to ensure appropriate resolution.process pre-employment requirements including drug tests and background checks as required.complete orientation and onboarding of new employees including periodic follow up to ensure assimilation and engagementcommunicate benefit changes to employeescoordinate workers compensation as required.complete required paperwork as needed to effect employment-related changes (hiring, termination, role changes, compensation changes)complete wage studies for hourly workers as needed and make recommendations regarding adjustments to maintain market competitivenessmaintain a positive employee relations culture with focus on building strong communications between supervisors and team membersmaintain records and prepare documentation to maintain governmental and legal compliance.conduct exit interviewsensure compliance with all federal, state, and local employment lawsassists with the delivery of effective ehs training to supervisors and employees.participate in safety audits of operations to identify existing and potential hazardous conditions.participates in the implementation of safety guidelines and related health and safety communications and educational information.maintains safety records to ensure compliance with documentation practices.participates in accident investigation and provides recommendations to prevent recurrence.implement programs to reduce worker’s compensation costs.other duties as assigned experience and skills bachelor’s degree requiredmanufacturing industry experience preferred.bi-lingual preferredexcellent written and verbal communication skills to all organization levelsstrong problem-solving skillsability to respond quickly and efficiently in emergency situations exercising a calm approachproactive in approach; shows ownership and driveability to manage multiple priorities simultaneouslyability to de-escalate situations and help manage conflictstrong computer skills: intermediate knowledge of microsoft office suite including word, excel, powerpoint and outlook diversity and inclusion we believe in diversity of thought and bringing together other traits and characteristics that make an individual bring a unique experience to pregis. we strive to foster an inclusive environment where behaviors and social norms ensure people are welcome. affirmative action and eeo statement and inclusion we offer equal employment opportunities to all employees and applicants for employment and prohibit discrimination and harassment of any type based on race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws. we support inclusion and believe in welcoming a collective sum of individual differences, thoughts, traits, and characteristics to represent pregis’ culture and achievements. visit us at www.pregis.com for more information about pregis llc.","['human resources administration', 'recruitment', 'employee engagement', 'compensation management', 'benefits administration', 'Microsoft Office Suite', 'data compliance', 'communication', 'problem solving', 'conflict management', 'proactive approach', 'multitasking', 'teamwork', 'calm under pressure', 'ownership and drive', 'safety training', 'accident investigation', 'bilingual communication']"
HR,"We are looking for an ambitious human resource manager (hr manager) to serve as the leader of a human resources team. this is a great opportunity for an individual looking for a fast-paced work environment with many opportunities for growth. responsibilities: suggest and implement advanced, best practices hr strategies and proceduresmanage and oversee the whole recruiting and hiring processoversee payroll submissions and paymentsstructure competitive benefits packages, and measure their successpromote healthy relationships between staff and management through mediation and handling labor disputesadminister performance review program to ensure effectiveness, compliance, and equity within organizationfacilitate employee on-boarding and off-boardingresponsible for collecting and analyzing employee data and maintaining accurate and complete employee recordseducate, train and supervise employees on the common hr topicstrack and analyze relevant hr metricscreate reports for senior management qualifications: previous experience working in hr managementin-depth knowledge of hr operations and analyticsfamiliarity with labor law rules and regulationsimpeccable communication, interpersonal and leadership skills excellent organizational and time-management skillsba in human resources or similar relevant fields","['HR management', 'recruiting', 'payroll management', 'benefits structuring', 'performance review administration', 'employee onboarding', 'data analysis', 'HR operations', 'labor law knowledge', 'report creation', 'communication', 'interpersonal skills', 'leadership', 'organizational skills', 'time management', 'mediation']"
HR,"Sigvaris is currently looking for a human resources generalist to join our hr team in peachtree city, ga. as a leading compression solution provider, we are not just a company that manufactures products. we are a global team on a mission to help people feel their best. under the guidance of the human resources director, the human resources generalist performs duties at the professional level in some or all of the following functional areas: employee relations, training, employment, benefits management, safety and payroll functions. this position requires an extremely perceptive person who is capable of relating to individuals at all levels within the organization. the human resources generalist must be sensitive to corporate needs, employee goodwill and the business needs in order to meet established organizational goals and objectives. duties and responsibilities: • assists hiring manager in processing applications and pre-employment screenings. • participates in the new employee onboarding process. • monitors monthly employee eligibility for benefits plans. • ensures compliance with uscis form i-9 employment eligibility verification; periodically audits forms i-9 to ensure compliance. • assists department in carrying out various human resources programs and procedures for all company employees. o answers outside inquiries for factual information, such as verification of dates of employment in response to telephone credit checks on employees. o sends out monthly safety training to all departments and ensures completion for all applicable employees. o regularly audits and ensures iso files are maintained and up to date. o provides basic personnel information to current and prospective employees. o gathers information in preparation for standard to complex reports. o assists in the coordination of other employment activities, i.e., open enrollments, employer sponsored events, employee communication meetings, audits, and any other hr projects. o provides administrative support for employees hr requests. o distributes employee human resources information and communications. o assists with maintenance of the employee bulletin boards, (i.e. job postings, employer communications, federal and state laws, osha, etc.). o assists in developing and maintaining presentations for break room. o prioritizes mail and internal correspondence. o retrieves and replaces work related documents (files, reports, etc.) from storage areas. • organizes, facilitates, and delivers training programs for all levels of the organization. • ensures that sales employees have proper credentials to enter hospital and medical environments. • fosters positive morale among staff, by promotion of open communication with all departments, to help create and maintain an innovative and cooperative staff relationship and environment. o interacts with external and internal customers in a manner conducive to continued positive relationships. o displays patience, courtesy and tact; demonstrates flexibility, enthusiasm and willingness to cooperate while working with others or in place of others as necessary. • demonstrates effective communication methods. o the human resources director and and or appropriate management staff are kept informed of developments affecting their functions. o responds quickly to all oral and written communications. o maintains and encourages an open line of communication with both internal and external customers. o checks and responds to voice mail messages in a timely manner. o accurately and legibly presents written data to affected internal and external customer. • follows established company policies and procedures to ensure compliance with sigvaris policies, industry standards, iso 13485 standards, and federal, state and local laws. • follows all work instructions, creates and maintains accurate records to meet all internal and external requirements to support the sigvaris quality system and quality policy. • accurately performs any other duties and responsibilities as assigned to ensure an efficient workflow. minimum requirements: education and and or work experience: • a bachelor's degree in human resources management, business management or equivalent in education and experience. • seven (7) to ten (10) years of experience in a human resources or similar function. • experience working in a manufacturing environment preferred. critical skills: • detail-oriented and ability to multi-task • effective problem-solving skills • competent keyboard skills to produce accurate and well-presented reports, tables, forms and spreadsheets • effective communicator both verbal and written • proficient in microsoft excel, word, outlook and hris software • proficient with basic budget management and calculations • demonstrated ability to meet deadlines and deliver effective results • demonstrated ability to work under pressure physical requirements:this job operates in an office environment. this role routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets and fax machines. • occasionally required to sit, walk, use hands to finger, handle or feel, reach with hands and arms, talk or hear, bend, lift or climb. • occasionally required to lift light weights (less than 25 pounds). • finger dexterity and hand coordination required. • specific vision abilities required for this job include: close vision, distance vision, ability to adjust or focus. what we offer you: • competitive salary • medical (core plan and high deductible plan) • health spending account (applies to high deductible plan) • flexible spending account • dental plan • free life insurance, short and long term disability • voluntary benefits include vision, term life insurance, accident, cancer and hospital confinement • 401(k) with company match (dollar for dollar 100% up to the first 5% of employee contributions to the plan) • paid time off • 10 paid holidays per year • employee assistance program successful completion of background check and drug test will be required in advance of hire. sigvaris is an eoe.","['employee relations', 'training', 'employment', 'benefits management', 'payroll functions', 'Microsoft Excel', 'Microsoft Word', 'budget management', 'reporting', 'pre-employment screening', 'onboarding', 'communication', 'problem solving', 'detail-oriented', 'multi-tasking', 'interpersonal skills', 'flexibility', 'teamwork', 'time management', 'customer service', 'compliance', 'HRIS software', 'Microsoft Outlook', 'ISO standards', 'patience']"
HR,"The qti group is partnering with a cottage grove-based client with an immediate need for an hr generalist. this contract role will be responsible for managing the day-to-day hr functions and assisting with yearly wage reviews, esop distribution, and other hr related projects. this is a hybrid opportunity that will require frequent travel to the company’s offices located in cottage grove. responsibilities: manage day-to-day hr functionssupport various projects including annual wage review and esop distributionserve as resource to managers to assist in managing employee relations and feedbackmaintain visibility among staff and build relationships to foster employee confidence and trust in hrdemonstrate knowledge of trends, best practices, regulatory changes, and new technologies in human resources, talent management, and employment law qualifications: bachelor's degree in human resources or related field required3+ years of prior hr experience, preferably in a non-union environment prior experience in employee relations and experience guiding managersproficiency with or the ability to quickly learn hris and talent management systems (experience with paylocity is a plus!); proficiency in microsoft office and excel required.","['Talent Management Systems', 'Microsoft Office', 'Excel', 'Employee Relations', 'Communication', 'Relationship Building', 'Problem Solving', 'Adaptability', 'Teamwork', 'HRIS', 'Wage Review', 'ESOP Distribution', 'Regulatory Knowledge', 'Trust Building']"
HR,"The grand prairie tx, human resources generalist will assist with the administration of the day-to-day operations of the human resources function and support the field human resources manager with hr related matters in a fast-paced 24 and 7 warehouse and distribution facilities. this role will demonstrate a sense of urgency, high level of trust, confidentiality, good judgment and collaboration. the hr generalist will work closely with employees and managers. the ideal candidate has appreciation for the contribution of each and every employee to the company's vision and excellence in execution. responsibilities:as assigned by the field human resources manager, oversee employee relations matters, including employee recognition programs, disciplinary matters, performance improvement plans, and exit interviews.handles employment-related inquiries from applicants, employees, and supervisors, referring complex and and or sensitive matters to the appropriate staff.collaborate with recruiters to staff jobs in a timely and cost-effective manner.manage onboarding process and support onboarding activities.compiles data, generates and distributes reports as required to support compliance, compensation, system administration and other internal and external reporting requirements. ensures that all paperwork such as personnel transactions such as new hire forms, promotions, transfers, performance reviews, discipline, and terminations are completed and sent for filing.analyze and collaborate on recommendations based on engagement focus groups, exit interviews and other surveys.ensure compliance with federal, state and local employment laws as well as company policies and procedures.advise employees on company policies and procedures.supports the communication and administration of company programs and policies.monitor fmla and other leaves of absence qualifications:required education: bachelor’s degree in human resources, business administration, or related field experience required. shrm-cp a plus.experiences: at least three years of business partner experience preferredcompetencies required:initiativeteamworkproblem solving, conflict managementstrong written and verbal communication skillscustomer focusattention to detailbuilding and maintaining relationshipsadaptability and urgencylanguage skills: strong verbal and written communications skillsbilingual a plus compensation: $62,090 - $65,000 and year**the actual salary offer will take into account multiple factors including skills, experience, education and location. please note that the salary details listed in role postings reflect the base salary only, not total compensation, which includes bonus and benefits. candidates are eligible for the following benefits:• pto• company bonus plan• 401(k) save plan• annual fixed contribution• 8 paid holidays• medical, dental, vision, and life and disability coverage• voluntary benefits• accident and critical illness and hospital indemnity benefits• tuition reimbursement and student loan assistance• employee assistance program (eap)• health savings account (hsa) with employer funding and wellness incentives• flexible spending account (fsa)• employee referral program","['HR administration', 'employee relations', 'onboarding', 'compliance', 'data analysis', 'report generation', 'employment law knowledge', 'communication', 'teamwork', 'problem solving', 'conflict management', 'customer focus', 'attention to detail', 'relationship building', 'adaptability', 'initiative', 'SHRM-CP', 'bilingual']"
HR,"At moore, you will do meaningful, life-changing work every day by supporting the nation’s most beloved nonprofits and service organizations. some of our clients include shriners children’s, feeding america, aspca, wounded warrior and habitat for humanity. moore is an innovation led company of 5,000 people and the largest marketing, data and fundraising company in north america serving the nonprofit industry. we combine our strength in technology and unmatched industry expertise to provide clients with strategy, creativity, production, media, data, response management and analytic services. for more information about moore, please visit www.wearemoore.com. as the vice president, human resources, you will embody these attributes: role model - actively live our purpose and values. adhere to the highest levels of integrity. builds genuine, trusted relationships with team members and other constituents and treats every individual with the utmost dignity and respect.leader - respectfully listen and learn from others, collaborate on projects, and communicate results. confidently engage with staff at all levels to define needs and expectations. you inspire and motivate others to perform well.creative - consistently identify new and improved ways of doing things. problem solver - analytical in your approach and intellectually curious. detail-oriented but can see how the details relate to the overall mission of an organization.innovative team and relationship builder - build strong, cohesive teams as you navigate and innovate through challenges with a sense of fortitude. expertly use your ability to keep others informed and on track. understand how change impacts others and can balance all stakeholders' needs while creating a positive team spirit. rapport builder - understand the varying needs of everyone you support. establish credibility through your reliable, inclusive and trustworthy approach.organized - strong time management and project management skills. deal with and drive change and see multiple concurrent projects through to completion. in this role you will: partner with the chro to ensure the scalable evolution of the human resources function within a diverse, fast growing, multi-company enterprise.develop hr plans and strategies to support the achievement of the overall business objectives across multiple professional services companies.function as a strategic business advisor to the executive and senior management regarding key organizational and management issues.provide thought leadership, and oversight to all human resources functions including organizational development, talent management, total rewards strategy, employee engagement and relations, compliance and employee professional development.lead a team of hr professionals across multiple functions and companies.develop talent management strategies inclusive of recruitment and retention plans to meet human capital needs and strategic goals.develop and implement total rewards strategies inclusive of compensation and benefits plans that are comprehensive, competitive, and cost-effective. for this role, we seek: a bs and ba degree from an accredited college or university; mba or ma and ms in human resources or related field preferred.a minimum of 12-15 years of human resources experience, with ten years of experience at the executive level managing teams.extensive experience working concurrently with multiple companies and stakeholders.challenges the status quo, experiments, and even fails, but has the humility, confidence, and experience to learn from and ensure that all failures are smart failures.must have an entrepreneurial spirit, strong coaching skills, possess a high level of emotional intelligence, with an exceptional ability to mitigate and resolve complex issues.proven ability to successfully lead and drive change.excellent verbal and written communication skills.strong presentation skills.proficient with technology including microsoft office suite. our benefits:to help you stay energized, engaged, and inspired, we offer a wide range of benefits including comprehensive healthcare, support for working parents and paid time off so you can relax, recharge and be there for the people you care about. moore is proud to be an equal opportunity and affirmative action employer. we evaluate qualified applicants without regard to race, color, national origin, religion, sex, sexual orientation, gender identity, disability, protected veteran status, and other statuses protected by law.","['Human Resources Management', 'Talent Management', 'Project Management', 'Compensation and Benefits Strategy', 'Data Analysis', 'Microsoft Office Suite', 'Leadership', 'Communication', 'Emotional Intelligence', 'Problem Solving', 'Team Building', 'Creativity', 'Time Management', 'Relationship Building', 'Adaptability']"
HR,"Akkodis is seeking a human resources representative for a contract position with a client located in auburn hills mi. ideally looking who has previous experience in an automotive environment. pay range: $25 - $31.62 and hour; (the rate may be negotiable based on experience, education, geographic location, and other factors. ) human resources representative job summary:objective:this position is responsible for supporting and coordinating hr programs and initiatives and serves as the initial point of contact for general hr topics.efforts support managers, employees, and contract resources in a facility that has a workforce of over 1700.role responsibilities: list essential functions in order of importance; include percentage of time spent performing each function (total should equal 100%) hris and general support - (40%)assists employees with issues regarding kronos.resolves issues with new hires regarding access to systems, payroll, benefits, etc.works with the hris team to process sap changes.provides backup administrative support to local recruiters by maintaining interviewing rooms, greeting and escorting candidates, and ensuring interview guides are available for managers conducting interviews.serves as the first point of contact for local campus employees and contractors regarding general hr topics and inquiries.provides support for annual bonus and merit planning and other hr projects as needed.updates job descriptions into current templates and saves to the common drive.works with hr team to post positions onboarding and offboarding activities - (20%)conducts local campus new hire orientation for incoming ftes and interns, prepares new hire and personnel announcements, and completes i-9 forms.ensures completion of new hire paperwork and creates sap position numbers.processes termination paperwork including payroll termination checklist, sap data change form, and termination vehicle checklist.prepares and sends termination information emails to separating employees. years of experience: minimum years of experience needed3-5 experience in a corporate environment preferred (human resources) education and skill setdesired (not required)bachelor's degree in human resources or equivalentexperience working in an automotive environment (strongly desired) specialized skills: knowledge or certifications unique to this role (required):ability to multi-task and handle both operational and project management requirements simultaneously desiredhuman resources professional certification if you are interested in this role, then please click apply now. for other opportunities available at akkodis, or any questions, please contact nandakini sajwan at 610-484 2192 or nandakini.sajwan@akkodisgroup.com equal opportunity employer and veterans and disabledbenefit offerings include medical, dental, vision, term life insurance, short-term disability insurance, additional voluntary benefits, commuter benefits, and a 401k plan. our program provides employees the flexibility to choose the type of coverage that meets their individual needs. available paid leave may include paid sick leave, where required by law; any other paid leave required by federal, state, or local law; and holiday pay upon meeting eligibility criteria.disclaimer: these benefit offerings do not apply to client-recruited jobs and jobs which are direct hires to a client. to read our candidate privacy information statement, which explains how we will use your information, please visit https: and and www.akkodis.com and en and privacy-policy. the company will consider qualified applicants with arrest and conviction records.","['Onboarding', 'Interview Coordination', 'Data Entry', 'Communication', 'Multi-tasking', 'Problem Solving', 'Teamwork', 'Attention to Detail', 'Adaptability', 'HRIS', 'Kronos', 'SAP', 'Offboarding', 'Human Resources Certification', 'Project Management', 'Customer Service']"
HR,"Job title: hr business partnerlocation: herndon, va - washington, dc area preferred everfox is seeking an hrbp, us position. this is an ideal opportunity for an energetic and innovative hr professional who would like to join a fast-moving cyber security leader. as part of the everfox hr team, you’ll be aligned with our ganda organization and bring strong functional human resources expertise, business acumen, cultural awareness, consultative skills, and customer service orientation. the person in this role should have proven experience understanding business concepts and aligning business needs with hr support and solutions to move the business ahead. the candidate should also be able to demonstrate interpersonal awareness to effectively build and sustain strong partnerships with trust and credibility across the business. responsibilitiesfunction as the recognized expert on organizational issues and serve as a trusted advisor and business partner to the ganda organizationwork with the leadership team to develop and implement human resources strategies, initiatives, and goals that support company business objectivesprovide day-to-day guidance to cross-functional leadership on coaching, counseling, career development, and performance management aligned with multiple state laws and regulations.analyze employee insights and data and implement programs to improve overall people satisfactionprovide guidance on employee relations matters and conduct investigations, as neededensure policies, practices and programs are administered in a fair and consistent manner that aligns to mandates of local laws and regulations.partner with business leaders on talent management to identify and develop internal talent, reward high performers, and improve retention across the organizationwork with business unit leaders to define, develop and maintain a culture that inspires and fosters high employee performance and engagement qualificationsbachelor’s degree or equivalent preferred; minimum of 5 years relevant and progressive experience in human resourcesexperience working with global hr teams and demonstrated ability to assess and implement policies to comply multiple state laws and regulations.experience aligning with global leaders to create a best-in-class employee experience.demonstrated ability to deal effectively with ambiguity and change management and identify systemic approaches to solving problems.experience working with employees at all levels, across multiple groups, multiple geographies and within complex environments.strong business and global acumen, curiosity, learning agility, and learning and growth mindsetability to assess and translate workforce implications, and identify relevant solutionsstrong assessor of talent and able to coach for development, with exceptional consultative and facilitation skills and ability to influence senior leadersworkday experience and excel proficiency a plusstrong communication, both verbal and written.","['human resources expertise', 'employee relations', 'data analysis', 'excel', 'problem solving', 'communication', 'business acumen', 'consultative skills', 'performance management', 'talent management', 'workday', 'compliance with laws and regulations', 'interpersonal awareness', 'partnership building', 'coaching', 'change management', 'curiosity', 'learning agility', 'influencing', 'cultural awareness']"
